Feature,Importance
OverallQual,0.22738907
TotalSF,0.12976459
CentralAir_N,0.04232095
KitchenQual_Gd,0.037300944
GarageCars,0.03515461
BsmtQual_TA,0.03389251
ExterQual_TA,0.03221304
BsmtFinType1_Unf,0.03204867
KitchenAbvGr,0.029180367
Fireplaces,0.028226515
LotShape_Reg,0.027183961
GarageType_Detchd,0.019690495
KitchenQual_TA,0.018664807
MSZoning_RM,0.016190922
GarageFinish_Unf,0.01317286
GarageArea,0.0123509215
YearRemodAdd,0.011934627
GrLivArea,0.011552405
BsmtQual_Ex,0.00952909
BsmtFinSF1,0.009215693
KitchenQual_Ex,0.0078013046
MSZoning_RL,0.00753131
YearBuilt,0.0072202017
BsmtFinType1_GLQ,0.006855812
OverallCond,0.005970097
2ndFlrSF,0.0058941287
Neighborhood_OldTown,0.0055024815
ExterCond_TA,0.005491824
SaleCondition_Abnorml,0.005257145
PavedDrive_N,0.0050822184
BsmtFullBath,0.005011489
SaleType_New,0.0046350034
Neighborhood_Crawfor,0.004331818
BsmtExposure_Gd,0.0040139914
Functional_Min1,0.0038411145
GarageType_Attchd,0.0037726266
LotArea,0.0035693268
SaleCondition_Normal,0.0035553388
TotRmsAbvGrd,0.003541536
Functional_Typ,0.0033791976
BsmtExposure_No,0.003249374
Neighborhood_NridgHt,0.0031943242
Exterior1st_AsbShng,0.0031659834
HalfBath,0.0030709675
GarageFinish_Fin,0.003056079
Condition1_Artery,0.00291929
KitchenQual_Fa,0.0029020132
Exterior2nd_MetalSd,0.002815528
Neighborhood_NAmes,0.0027626383
1stFlrSF,0.0027273833
Exterior1st_BrkFace,0.0021962312
OpenPorchSF,0.0021720172
WoodDeckSF,0.0021320418
SaleCondition_Family,0.0021104042
BsmtFinType1_ALQ,0.0021018637
BsmtFinType1_BLQ,0.0020962374
MSZoning_C (all),0.0020558722
GarageYrBlt,0.002034867
BsmtCond_Fa,0.0018520717
MasVnrType_Stone,0.0018428504
Foundation_CBlock,0.0017750772
Heating_GasA,0.0015820595
GarageType_CarPort,0.0015377247
BsmtUnfSF,0.0015186217
LotConfig_CulDSac,0.0014938067
Neighborhood_StoneBr,0.0014852065
Neighborhood_IDOTRR,0.0014451359
GarageQual_Fa,0.0014312114
Neighborhood_Edwards,0.001422427
Exterior2nd_Plywood,0.0013704693
ScreenPorch,0.0013352566
Functional_Mod,0.0013127044
RoofStyle_Gable,0.0012976647
YrSold,0.00129353
HeatingQC_Ex,0.0012864474
Foundation_PConc,0.001275999
LandContour_Lvl,0.0012664046
Foundation_BrkTil,0.0012565934
HouseStyle_2Story,0.0012122443
BsmtQual_Gd,0.0011981982
MasVnrType_BrkFace,0.0011953048
MasVnrType_BrkCmn,0.0011375328
Exterior2nd_AsbShng,0.0011278515
FireplaceQu_TA,0.0010707463
PoolQC_Gd,0.0010651323
FullBath,0.0010645542
GarageQual_Gd,0.0010353911
LotConfig_FR2,0.0010301495
SaleType_COD,0.0010285365
Fence_GdWo,0.0009892373
MoSold,0.0009700454
HeatingQC_TA,0.0009559651
TotalBsmtSF,0.00095048395
BedroomAbvGr,0.0008949817
SaleType_WD,0.0008807869
Condition1_RRAe,0.0008782401
LandContour_Low,0.00087413617
MSZoning_FV,0.00087046315
BsmtFinSF2,0.00085639354
ExterCond_Gd,0.0008495118
Neighborhood_BrkSide,0.00081829354
HeatingQC_Fa,0.0007969572
HouseStyle_SLvl,0.00079471275
MasVnrArea,0.0007639278
BsmtFinType1_LwQ,0.00074894185
GarageType_Basment,0.0007261789
BsmtFinType1_Rec,0.000721171
Fence_GdPrv,0.0006856224
LotShape_IR1,0.00066608895
HeatingQC_Gd,0.0006618772
EnclosedPorch,0.0006498027
Neighborhood_Blmngtn,0.00061233464
LotConfig_Corner,0.00059851806
Neighborhood_Veenker,0.000576736
PoolArea,0.0005694418
GarageFinish_RFn,0.00056266127
Condition1_PosA,0.00056207203
Exterior1st_MetalSd,0.00054662925
Condition1_Norm,0.00053650717
LotFrontage,0.0005294588
LotConfig_Inside,0.00052698096
FireplaceQu_Gd,0.00048780855
Functional_Maj2,0.00048737426
Exterior1st_HdBoard,0.00048555655
HouseStyle_1.5Fin,0.00045561325
LandContour_Bnk,0.0004444996
PoolQC_Fa,0.0004283934
Neighborhood_Timber,0.00042114253
MiscVal,0.0004102729
3SsnPorch,0.00040870922
Neighborhood_MeadowV,0.0004084761
Exterior1st_WdShing,0.00039891692
BsmtExposure_Av,0.00039639726
Neighborhood_NWAmes,0.000386479
Exterior2nd_Wd Sdng,0.0003687969
LowQualFinSF,0.00036604106
Neighborhood_Sawyer,0.00036509967
Exterior2nd_VinylSd,0.00034403318
Exterior2nd_Wd Shng,0.00033993632
Foundation_Wood,0.00032052648
Neighborhood_Mitchel,0.0003177047
BsmtHalfBath,0.00029640394
GarageCond_TA,0.0002745077
MSSubClass,0.00026343303
PavedDrive_Y,0.0001760354
BsmtCond_Gd,7.016601e-05
FireplaceQu_Po,7.475604e-06
GarageCond_Fa,0.0
GarageCond_Ex,0.0
GarageType_BuiltIn,0.0
GarageQual_Ex,0.0
MSZoning_RH,0.0
GarageType_2Types,0.0
FireplaceQu_Fa,0.0
FireplaceQu_Ex,0.0
GarageQual_Po,0.0
GarageQual_TA,0.0
Exterior1st_CemntBd,0.0
Exterior1st_CBlock,0.0
Exterior1st_AsphShn,0.0
Exterior1st_BrkComm,0.0
RoofMatl_WdShngl,0.0
RoofMatl_WdShake,0.0
RoofMatl_Roll,0.0
RoofMatl_Tar&Grv,0.0
RoofMatl_CompShg,0.0
RoofStyle_Shed,0.0
RoofMatl_Metal,0.0
RoofMatl_Membran,0.0
RoofStyle_Mansard,0.0
RoofStyle_Hip,0.0
RoofStyle_Flat,0.0
RoofStyle_Gambrel,0.0
BldgType_2fmCon,0.0
BldgType_Duplex,0.0
HouseStyle_2.5Unf,0.0
HouseStyle_SFoyer,0.0
HouseStyle_2.5Fin,0.0
BldgType_TwnhsE,0.0
HouseStyle_1.5Unf,0.0
HouseStyle_1Story,0.0
BldgType_1Fam,0.0
BldgType_Twnhs,0.0
Condition2_Norm,0.0
Condition2_PosA,0.0
Condition2_PosN,0.0
Condition2_RRAe,0.0
Condition2_RRAn,0.0
Condition2_RRNn,0.0
Neighborhood_NPkVill,0.0
Neighborhood_SawyerW,0.0
Condition1_RRAn,0.0
Condition1_PosN,0.0
Condition1_Feedr,0.0
Neighborhood_SWISU,0.0
Condition2_Feedr,0.0
Condition2_Artery,0.0
Condition1_RRNn,0.0
Condition1_RRNe,0.0
Neighborhood_NoRidge,0.0
Neighborhood_Somerst,0.0
GarageCond_Po,0.0
GarageCond_Gd,0.0
PavedDrive_P,0.0
PoolQC_Ex,0.0
ExterCond_Fa,0.0
ExterCond_Ex,0.0
ExterQual_Gd,0.0
ExterQual_Fa,0.0
ExterQual_Ex,0.0
Exterior2nd_Stucco,0.0
Exterior2nd_Other,0.0
Exterior2nd_Stone,0.0
Exterior1st_Wd Sdng,0.0
Exterior2nd_AsphShn,0.0
Exterior2nd_Brk Cmn,0.0
Exterior1st_Plywood,0.0
Exterior1st_Stone,0.0
Exterior1st_Stucco,0.0
Exterior1st_VinylSd,0.0
Exterior1st_ImStucc,0.0
Utilities_AllPub,0.0
LandContour_HLS,0.0
LotShape_IR2,0.0
LotShape_IR3,0.0
BsmtFinType2_BLQ,0.0
BsmtFinType2_GLQ,0.0
Street_Grvl,0.0
Street_Pave,0.0
BsmtFinType2_ALQ,0.0
Foundation_Stone,0.0
Foundation_Slab,0.0
ExterCond_Po,0.0
BsmtQual_Fa,0.0
BsmtCond_Po,0.0
BsmtCond_TA,0.0
BsmtExposure_Mn,0.0
Exterior2nd_ImStucc,0.0
Exterior2nd_HdBoard,0.0
Exterior2nd_CmentBd,0.0
Exterior2nd_CBlock,0.0
Exterior2nd_BrkFace,0.0
LotConfig_FR3,0.0
BsmtFinType2_LwQ,0.0
Neighborhood_Gilbert,0.0
Neighborhood_CollgCr,0.0
Neighborhood_ClearCr,0.0
Neighborhood_Blueste,0.0
Neighborhood_BrDale,0.0
LandSlope_Sev,0.0
LandSlope_Gtl,0.0
LandSlope_Mod,0.0
Utilities_NoSeWa,0.0
HeatingQC_Po,0.0
Heating_Grav,0.0
Heating_OthW,0.0
Heating_Wall,0.0
BsmtFinType2_Rec,0.0
BsmtFinType2_Unf,0.0
Heating_Floor,0.0
Heating_GasW,0.0
Functional_Maj1,0.0
Functional_Min2,0.0
Electrical_FuseF,0.0
CentralAir_Y,0.0
Electrical_FuseP,0.0
Electrical_Mix,0.0
Electrical_SBrkr,0.0
Electrical_FuseA,0.0
MiscFeature_Shed,0.0
MiscFeature_Othr,0.0
MiscFeature_Gar2,0.0
Fence_MnWw,0.0
Fence_MnPrv,0.0
Functional_Sev,0.0
SaleType_CWD,0.0
MiscFeature_TenC,0.0
SaleType_ConLw,0.0
SaleType_ConLI,0.0
SaleType_ConLD,0.0
SaleType_Con,0.0
SaleCondition_AdjLand,0.0
SaleType_Oth,0.0
SaleCondition_Alloca,0.0
SaleCondition_Partial,0.0
